,CAPM,FF3,FF5
count,20.0,20.0,20.0
mean,0.9344942059807743,0.9419558593189757,0.9413644652503319
std,0.07136876459424255,0.06740641823656532,0.0687264823727778
min,0.7601080128428437,0.7663821217487607,0.7567183141659144
25%,0.9084870033578782,0.9106809939713832,0.9081918944440261
50%,0.9664880037447603,0.968944939103758,0.968596618760245
75%,0.9847965051673274,0.9929331548679923,0.9934127480829306
max,0.9927842063472024,0.9968316167432557,0.9969461190631738
