,CAPM,FF3,FF5
count,20.0,20.0,20.0
mean,0.0018546659882785112,0.001712328612588738,0.001703860742094477
std,0.001396713881771159,0.0014167041219653243,0.0014133344981532155
min,0.0006391248276447942,0.0004083619800442163,0.0004026221067814187
25%,0.0008364572164759646,0.0006083701453414527,0.0005920933792695359
50%,0.0014350084279338249,0.0013197300691823468,0.0013402830965648224
75%,0.002247044542327627,0.00218878183946999,0.00218405820362368
max,0.00561055805633797,0.005638941569717717,0.005672702328754305
