,CAPM,FF3,FF5
count,20.0,20.0,20.0
mean,0.00246116051925208,0.0022491430773749245,0.00225584019882034
std,0.001961678737782839,0.001915933654986353,0.0019344435894138013
min,0.0008033981443516614,0.0005250060765476575,0.0005193332194541685
25%,0.0011221991749963813,0.0007628342541549778,0.0007494043222536515
50%,0.0018498835562224321,0.001750159916128475,0.0017520382099011087
75%,0.002899159062198866,0.0028794802050523113,0.0028998867807960432
max,0.007686715600768005,0.007585530862450737,0.007740832147859841
