,CAPM,FF3,FF5
count,20.0,20.0,20.0
mean,9.713085398280978e-06,8.545906264297443e-06,8.643783403206735e-06
std,1.5795124697702133e-05,1.4344756478325687e-05,1.4679214866432594e-05
min,6.454485783476929e-07,2.7563138041196476e-07,2.697069928286315e-07
25%,1.2594140528601267e-06,5.82339652152018e-07,5.618027328365512e-07
50%,3.5060561033983828e-06,3.1571106488357347e-06,3.151370536587468e-06
75%,8.408326543877216e-06,8.291572406974808e-06,8.409467651886686e-06
max,5.9085596727090234e-05,5.7540278465192624e-05,5.992048234134041e-05
