,MCVAR,SHARPE,MVO,N
2015-01-23 00:00:00+00:00,1.0,1.0,1.0,1.0
2015-01-23 00:00:00+00:00,1.0,1.0000000002915552,0.9999999999886741,1.0
2015-01-26 00:00:00+00:00,1.00320240378791,1.0026276504800555,1.001334409079953,1.0064113502358285
2015-01-27 00:00:00+00:00,0.9904469873282065,0.9903199072690412,0.9863121429806674,0.997485797673667
2015-01-28 00:00:00+00:00,0.9782729854322876,0.9780194823523544,0.974773822210374,0.9843090807096622
2015-01-29 00:00:00+00:00,0.9883008105149781,0.9885587485902909,0.9856320590516938,0.9930642321989895
2015-01-30 00:00:00+00:00,0.9754111085627367,0.9739425650587725,0.9724171773635175,0.9806612026299922
2015-02-02 00:00:00+00:00,0.9866242931367475,0.9820907681873303,0.9835142036587308,0.9919749444003426
2015-02-03 00:00:00+00:00,1.0022366753639762,0.9946124364105029,0.9994651734010889,1.0071748357712067
2015-02-04 00:00:00+00:00,0.999709229649005,0.9896538016988192,0.9983762750953036,1.002391809851398
2015-02-05 00:00:00+00:00,1.0102305502088997,1.0033733954967126,1.0091967170817593,1.0124669357351597
2015-02-06 00:00:00+00:00,1.0053413618626577,0.9978794676140758,1.0065111553762536,1.0036707814910542
2015-02-09 00:00:00+00:00,1.0007728429933649,0.9895601517219593,1.0013736105097917,1.0000417440423548
2015-02-10 00:00:00+00:00,1.009957753357725,1.0013456693778853,1.0105868634309196,1.0090182176543785
2015-02-11 00:00:00+00:00,1.0098864243610433,1.0023820766401577,1.011442686666273,1.0073286593284658
2015-02-12 00:00:00+00:00,1.01896337746678,1.007522144117705,1.0193658389870532,1.0182584154295857
2015-02-13 00:00:00+00:00,1.022500036309553,1.0108571615225146,1.0228127887146135,1.021871358673077
2015-02-17 00:00:00+00:00,1.0235554262946764,1.0148093693325464,1.0242543645131554,1.0222214832249952
2015-02-18 00:00:00+00:00,1.0238620178808224,1.0150050667263286,1.0239864996687913,1.0235087262295186
2015-02-19 00:00:00+00:00,1.0218486719609001,1.014581533285992,1.0224724430894656,1.0205208390223532
2015-02-20 00:00:00+00:00,1.0288406461792283,1.0241407952978396,1.0300404219901897,1.0266466646793457
2015-02-23 00:00:00+00:00,1.0280863100065813,1.0255463555169944,1.0292868006140885,1.0258235845914618
2015-02-24 00:00:00+00:00,1.0321410772863084,1.0280703618824087,1.033698977911294,1.0294079473578712
2015-02-25 00:00:00+00:00,1.0320746919043151,1.028036368872876,1.033460106783136,1.029719237319593
2015-02-26 00:00:00+00:00,1.0308454828266342,1.0294613552841543,1.0330675546282562,1.027094542442377
2015-02-27 00:00:00+00:00,1.0274336325867024,1.0246777072788218,1.0289233735677408,1.0249144501145941
2015-03-02 00:00:00+00:00,1.0340257352486528,1.0334589078871066,1.036501310970432,1.029874978014843
2015-03-03 00:00:00+00:00,1.0298250159539317,1.0267400710899888,1.0320590751549557,1.0260816533970614
2015-03-04 00:00:00+00:00,1.0253895437291776,1.0255527285000363,1.0266976020112455,1.0231791412123021
2015-03-05 00:00:00+00:00,1.0278686821768965,1.0284212170870137,1.0284217614591522,1.0270673583243752
2015-03-06 00:00:00+00:00,1.0121014227276295,1.0106906716771926,1.0132637500319466,1.0101373386508479
2015-03-09 00:00:00+00:00,1.0171422203782778,1.017858405062809,1.019528473535804,1.0132321556286499
2015-03-10 00:00:00+00:00,1.0002770548256736,1.0030612957369935,1.0023854771001042,0.9967883807166392
2015-03-11 00:00:00+00:00,0.9989956545145849,1.001744661335979,1.0002687654974813,0.9970169887554563
2015-03-12 00:00:00+00:00,1.0119909159548666,1.015898020279546,1.0141674913968348,1.0085409736908266
2015-03-13 00:00:00+00:00,1.0049948740261945,1.0106020417980317,1.0069713744359277,1.0017894997880732
2015-03-16 00:00:00+00:00,1.0178314905236714,1.0276281342155844,1.0199489475856027,1.0143267461941614
2015-03-17 00:00:00+00:00,1.0138169002549224,1.022294521020188,1.014586271229019,1.0124489930242788
2015-03-18 00:00:00+00:00,1.0271739190130758,1.0352921063476401,1.0270462453011264,1.0274299875756057
2015-03-19 00:00:00+00:00,1.0215896228076364,1.0346747583215168,1.0215936145923574,1.0215261728801424
2015-03-20 00:00:00+00:00,1.031157592346678,1.0431270897806104,1.0306717422231262,1.0319757782965453
2015-03-23 00:00:00+00:00,1.0298617399650614,1.041446800491363,1.0294231581822482,1.0306803997041398
2015-03-24 00:00:00+00:00,1.0247314772850271,1.0341179434039842,1.0236268954645058,1.026732597623858
2015-03-25 00:00:00+00:00,1.0098168269225536,1.0164177300242616,1.0077663141662612,1.013403432870484
2015-03-26 00:00:00+00:00,1.0070973779772863,1.0139584714864265,1.00530790673431,1.0102135503253358
2015-03-27 00:00:00+00:00,1.009440651315958,1.0182996246550728,1.007377740738962,1.0130170126655678
2015-03-30 00:00:00+00:00,1.0232118321573744,1.0310861910222318,1.0209920755991069,1.027213082802438
2015-03-31 00:00:00+00:00,1.0142339428814484,1.017275953823695,1.011310590212146,1.0194012691864633
2015-04-01 00:00:00+00:00,1.0116347186339762,1.010001892023925,1.0070703261372143,1.0196457810738735
2015-04-02 00:00:00+00:00,1.015572710220403,1.013248934951022,1.0105497546777256,1.0243826817347739
2015-04-06 00:00:00+00:00,1.0230112564927984,1.0178944005779684,1.0175606716386292,1.0326036175461883
2015-04-07 00:00:00+00:00,1.0207581052024348,1.0184434146187225,1.015815472937565,1.0295529940164638
2015-04-08 00:00:00+00:00,1.0255505947789734,1.0233570616319687,1.0183924926886043,1.0381892941587454
