,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2015-01-23 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-10 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-13 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-17 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-18 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-19 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-20 00:00:00+00:00,0.0,0.0034702141777231722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823418218821086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
