,mu
ITOT,0.05710472134734393
DIA,0.058282020810349146
SPY,0.05773114967896496
XLG,0.05854475154633811
AIA,0.04191514173830306
GXC,0.046726069705952285
XLY,0.06970737361605599
XLE,-0.008988261972487569
XLF,0.054989423841113654
XLV,0.06134000839057763
XLI,0.050835014977871726
XLB,0.03716793600176695
XLK,0.09003125906675456
XLU,0.06304980603504752
ICLN,0.028051708108231405
CGW,0.043033050070285496
WOOD,0.03293597378876524
IYR,0.05791013927878641
