,returns
ITOT,0.07435038500251794
DIA,0.07200682918826048
SPY,0.07554782237645448
XLG,0.07448628291200259
AIA,0.04555092066641782
GXC,0.04779434717736843
XLY,0.09332843915157484
XLE,0.018453922095584992
XLF,0.0853312060702772
XLV,0.0845263666723773
XLI,0.07489185818366292
XLB,0.0544034215349926
XLK,0.09328810491705879
XLU,0.06213964305404061
ICLN,0.035257750101949106
CGW,0.06240089531583578
WOOD,0.05181995937877411
IYR,0.06194135831343176
