date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2011-01-13 00:00:00+00:00,24.7333051884,95.6955197311,107.6693185894,75.9914696869,39.7974240104,65.9829931755,33.192788384,56.3179325507,11.4303444593,27.7861024585,29.8779097945,32.2788831454,22.4147359739,23.0695804636,12.9519300449,17.8583525859,39.8479409317,40.3474737996
2011-01-14 00:00:00+00:00,24.902769424,96.0956119211,108.4493487077,76.5233434904,40.0701223061,66.1327276532,33.395344535,56.9262741929,11.614071852,27.8206837932,29.9990421004,32.3518415509,22.6134788141,23.1772884043,12.8893225281,17.9706149571,40.0611491596,40.6211624829
2011-01-18 00:00:00+00:00,24.9832649359,96.5365298448,108.6338719615,76.4984119059,40.0618587214,65.7001613843,33.4922192158,57.2808044214,11.5446096998,27.9244277974,30.2162448557,32.5290262501,22.637241545,23.2320551539,13.2727935687,17.9706149571,40.0442278716,41.0028861729
2011-01-19 00:00:00+00:00,24.6782293118,96.4793738177,107.5686695419,76.0413328559,40.0866494756,65.4755596677,33.1575612274,56.5878589747,11.2875997365,27.7342304564,29.8987946748,31.7765124099,22.4752229253,23.1772884043,13.1397525954,17.8065391838,39.6042743856,40.5131274763
2011-01-20 00:00:00+00:00,24.6858975685,96.4467132307,107.4260833912,76.1410591941,39.6982609938,64.5688342194,33.2280155407,56.1849837151,11.3431694583,27.8033931258,29.7484235364,31.3262548213,22.3542490225,23.3525420029,13.1162747766,17.6338278435,39.4012189305,40.4266994711
2011-01-21 00:00:00+00:00,24.7121221589,96.8418410115,107.6693185894,76.3155802859,39.3016089272,63.9865334728,33.3072766433,56.4831114072,11.4345121885,27.8271677935,29.9906881482,31.249127364,22.2246341268,23.3306353031,13.1554044746,17.5181112455,39.8327117726,40.5851508141
2011-01-24 00:00:00+00:00,24.8493881898,97.7410983567,108.2816002952,76.7959288148,39.5247257146,63.8700733234,33.4393784808,56.6926065422,11.4220090011,27.7947477921,30.2747225207,31.5847360296,22.5357098766,23.4620755019,13.4762679984,17.7719969157,40.636472949,40.7868161597
2011-01-25 00:00:00+00:00,24.788381065,97.6838728893,108.3403122395,76.8308330331,39.4751442063,63.5789229501,33.4569920592,56.5294420621,11.3987391801,27.7947477921,30.2371297361,31.6243420212,22.6394017932,23.4273898939,13.2023601123,17.8151747508,40.7041581007,41.2189561862
2011-01-26 00:00:00+00:00,25.0044903314,97.7819736906,108.7596832709,76.9139383149,39.9709592895,64.1196307863,33.5098327942,57.8851173109,11.3883198572,27.7601664574,30.4167397069,32.2934748265,22.769016689,23.3379375363,13.0567976356,17.9015304209,41.1187296548,41.3341935265
2011-01-27 00:00:00+00:00,25.079012229,97.8064988909,109.028080731,76.963801484,40.0618587214,64.2028166072,33.7740364693,57.5467020928,11.4879980457,27.8293291269,30.5295180606,32.0266555147,22.8467856264,23.4255643356,13.1311440619,17.8842592869,41.2794818901,41.9103802284
2011-01-28 00:00:00+00:00,24.6061646456,96.4821380734,107.1241362486,75.7830416401,39.1032828939,62.6139674271,32.673187823,57.2969194318,11.2875997365,27.3278997732,29.9322104833,31.5263693052,22.3196850503,23.1115683049,12.701578237,17.4697520702,40.4672600697,41.254967855
2011-01-31 00:00:00+00:00,24.7655033931,96.9562919464,107.9293286288,76.2324750041,39.21897308,63.3543212336,32.7436421363,58.9406504913,11.3917929649,27.388417109,30.2747225207,32.0516698252,22.4579409391,23.1626839378,12.9049744073,17.6424634105,40.7972251843,41.7447265516
2011-02-01 00:00:00+00:00,25.2001791575,98.1743768958,109.657137278,77.6203332103,39.8883234423,64.1029936221,33.1311408598,59.8994936093,11.6279642824,27.881201129,30.7007740793,32.9104944849,22.8381446334,23.3963554025,13.2180119915,18.0483350602,41.6094470046,41.9391895635
2011-02-02 00:00:00+00:00,25.135782748,98.1825519625,109.4474517623,77.3012089282,39.8883234423,64.2610466819,33.034266179,59.8511485781,11.5376634845,27.7861024585,30.6047036298,32.8562968122,22.8791893504,23.2685663202,13.5279191998,17.7374546477,41.296403178,41.9463918973
2011-02-03 00:00:00+00:00,25.1230729303,98.4032787655,109.6906869605,77.5288342951,39.838741934,64.2360909356,33.4217649025,59.8833785989,11.5411365921,27.8228451266,30.617234558,32.9938755198,22.9159135708,23.3634953528,13.4214864212,17.7115479466,41.2202573824,42.0544269039
2011-02-04 00:00:00+00:00,25.2747857872,98.6648809022,110.0010215237,77.5538489849,40.045331552,64.2527280998,33.6507414209,59.7302860002,11.5359269307,27.9503637984,30.7258359357,32.9980445716,23.0628104527,23.221101804,13.2806195083,17.8324458848,41.4063915495,41.6727032139
2011-02-07 00:00:00+00:00,25.4620014015,99.2044353094,110.6887900151,78.0275490912,39.7395789174,64.0156485101,33.8286385622,60.0767587236,11.7043726499,27.90713713,31.0140472842,33.1752292708,23.1773036106,23.370797586,13.4277471729,17.9101659879,41.6009863606,42.1408549092
2011-02-08 00:00:00+00:00,25.5509277592,99.8502655846,111.1920352527,78.476317613,39.5990979771,63.7203388457,34.2319895062,59.8733067174,11.7877272325,27.9871064666,31.2228960875,33.2815400903,23.2723545342,23.3689720277,13.3432270251,17.96197939,41.7194353761,42.2488899158
2011-02-09 00:00:00+00:00,25.4712795684,99.9647165194,110.9404126339,78.3101070493,38.747948751,62.3477728001,34.4609660246,59.1179156055,11.7050672714,27.9244277974,31.2187191114,32.9855374164,23.2269893207,23.3671464694,13.3040973271,17.9706149571,41.3979309056,42.3497225886
2011-02-10 00:00:00+00:00,25.5128406722,99.8747907849,110.9823497371,78.0607912039,38.128179897,61.99007377,34.5049999705,59.722228495,11.7043726499,27.9330731311,31.385798154,33.0439041408,23.1232974041,23.410959869,13.2014209995,17.8928948539,41.1610328746,42.4865669303
2011-02-11 00:00:00+00:00,25.6907781196,100.2671939901,111.6449559666,78.3517427955,38.0455440498,62.5806930988,34.8572715373,59.7141709899,11.8648302215,27.9935904669,31.6197088137,33.2273424176,23.246431555,23.3671464694,13.3428357282,18.0258825859,41.6940534442,42.7530532799
2011-02-14 00:00:00+00:00,25.7666133651,100.234493723,111.9133534267,78.7580445183,38.1033891428,63.0132593677,34.7163629106,61.0275443364,11.8710818152,28.0886891374,31.5862930051,33.5858808678,23.278835279,23.1991951042,13.5780052133,18.0742417612,41.6602108684,42.7458509462
2011-02-15 00:00:00+00:00,25.6734080355,99.8993159852,111.5610817603,78.5261807821,38.128179897,63.0215779498,34.7603968564,60.3910014261,11.855452831,28.0281718016,31.4693376753,33.2023281072,23.1924253485,23.2722174369,13.523223636,17.96197939,41.6009863606,42.6018042707
