Date,MKT,SMB,HML,RMW,CMA,RF
2012-03-05,-0.004,0.0045000000000000005,0.0027,0.0013,0.0039000000000000003,0.0
2012-03-06,-0.016200000000000003,-0.0034999999999999996,-0.0032,0.005,-0.0019,0.0
2012-03-07,0.008,0.0031,0.0022,-0.0031,0.0007000000000000001,0.0
2012-03-08,0.010700000000000001,0.0038,-0.003,-0.0012,0.0005,0.0
2012-03-09,0.0049,0.009000000000000001,0.0015,-0.0022,0.0,0.0
2012-03-12,-0.0007000000000000001,-0.0021,-0.0003,0.0028000000000000004,0.0009,0.0
2012-03-13,0.018600000000000002,0.0015,0.0089,-0.0064,-0.0009,0.0
2012-03-14,-0.0023,-0.0060999999999999995,-0.0022,0.0045000000000000005,0.0016,0.0
2012-03-15,0.0067,0.0029,0.0051,-0.0055000000000000005,0.0015,0.0
2012-03-16,0.0006,-0.0027,0.0038,-0.0046,-0.0017000000000000001,0.0
2012-03-19,0.0040999999999999995,0.005,-0.001,-0.0013,-0.0036,0.0
2012-03-20,-0.0039000000000000003,-0.0063,0.0031,0.0004,0.0013,0.0
2012-03-21,-0.001,0.0029,-0.004,0.0014000000000000002,0.0009,0.0
2012-03-22,-0.0074,-0.0014000000000000002,-0.0042,0.005600000000000001,-0.0003,0.0
2012-03-23,0.0039000000000000003,0.0060999999999999995,0.0031,-0.0033,-0.0018,0.0
2012-03-26,0.014499999999999999,0.0048,-0.0024,0.0013,-0.0016,0.0
2012-03-27,-0.003,-0.0038,-0.0031,0.0007000000000000001,-0.0011,0.0
2012-03-28,-0.0051,0.0,0.0042,-0.0022,0.0038,0.0
2012-03-29,-0.0016,-0.0004,-0.0023,0.0021,0.0013,0.0
2012-03-30,0.0028000000000000004,-0.0068000000000000005,-0.0004,0.0001,0.0017000000000000001,0.0
2012-04-02,0.0077,0.0034000000000000002,0.0003,0.0015,-0.0034000000000000002,0.0
2012-04-03,-0.0034000000000000002,-0.0033,-0.0032,0.0017000000000000001,0.0021,0.0
2012-04-04,-0.0111,-0.0060999999999999995,0.0005,0.0026,0.0036,0.0
2012-04-05,-0.0003,-0.0011,-0.004699999999999999,0.0024,-0.0019,0.0
2012-04-09,-0.0121,-0.0044,-0.0005,0.0052,0.0017000000000000001,0.0
2012-04-10,-0.018500000000000003,-0.0044,0.0009,0.0022,0.0008,0.0
2012-04-11,0.0085,0.008,0.0028000000000000004,-0.0028000000000000004,0.0015,0.0
2012-04-12,0.0144,0.0008,0.0029,-0.0048,-0.0019,0.0
2012-04-13,-0.0125,-0.002,-0.0076,0.0066,0.001,0.0
2012-04-16,-0.0009,0.0019,0.0085,-0.0022,0.004699999999999999,0.0
2012-04-17,0.0155,0.0004,-0.0024,-0.001,-0.0034000000000000002,0.0
2012-04-18,-0.0043,-0.0046,-0.0040999999999999995,0.0037,-0.0011,0.0
2012-04-19,-0.005699999999999999,-0.0006,0.003,-0.003,0.003,0.0
2012-04-20,0.0011,0.0052,-0.0008,0.0032,0.0064,0.0
2012-04-23,-0.0095,-0.0051,0.0016,0.0006,-0.0003,0.0
2012-04-24,0.0029,0.0027,0.0098,-0.0063,0.006999999999999999,0.0
2012-04-25,0.0144,0.0037,-0.0105,0.0036,-0.0075,0.0
2012-04-26,0.0075,-0.0003,-0.0002,-0.0017000000000000001,-0.0025,0.0
2012-04-27,0.0034999999999999996,0.006999999999999999,-0.0018,0.0009,-0.0017000000000000001,0.0
2012-04-30,-0.0049,-0.0063,0.0009,-0.0012,-0.0015,0.0
2012-05-01,0.0048,-0.0078000000000000005,0.0039000000000000003,-0.0004,0.0002,0.0
2012-05-02,-0.0015,0.006500000000000001,-0.0058,0.004,0.0029,0.0
2012-05-03,-0.0092,-0.0064,0.0011,0.0042,0.0034000000000000002,0.0
2012-05-04,-0.016200000000000003,-0.0019,0.0013,0.0019,0.0018,0.0
2012-05-07,0.0004,0.0012,0.0049,-0.0039000000000000003,0.0029,0.0
2012-05-08,-0.0040999999999999995,0.0034999999999999996,0.0036,0.001,0.0027,0.0
2012-05-09,-0.0062,0.0015,-0.0025,0.0009,-0.0011,0.0
2012-05-10,0.0029,0.0009,0.005600000000000001,-0.0008,0.0053,0.0
2012-05-11,-0.0029,0.001,-0.009300000000000001,-0.0003,-0.0007000000000000001,0.0
2012-05-14,-0.011399999999999999,-0.0014000000000000002,-0.0012,0.0007000000000000001,0.0009,0.0
2012-05-15,-0.0052,0.0052,-0.002,0.004,0.0002,0.0
2012-05-16,-0.0044,-0.0018,-0.0043,0.0067,0.0025,0.0
2012-05-17,-0.016399999999999998,-0.0052,0.0043,0.0004,-0.0005,0.0
2012-05-18,-0.008,-0.0019,0.0016,0.0014000000000000002,0.0038,0.0
2012-05-21,0.0169,0.005699999999999999,-0.0118,-0.002,-0.006500000000000001,0.0
2012-05-22,0.0,-0.008199999999999999,0.0029,-0.0007000000000000001,0.0,0.0
2012-05-23,0.0026,0.0049,-0.0027,0.0001,-0.001,0.0
2012-05-24,0.0016,0.0003,0.0021,0.0033,0.005600000000000001,0.0
2012-05-25,-0.0016,0.0024,-0.001,0.0017000000000000001,0.0014000000000000002,0.0
2012-05-29,0.011399999999999999,0.0019,-0.0002,-0.003,-0.0006,0.0
2012-05-30,-0.0147,-0.0031,-0.0026,0.005699999999999999,-0.0003,0.0
2012-05-31,-0.0023,0.0018,0.005699999999999999,-0.0013,0.0022,0.0
2012-06-01,-0.026000000000000002,-0.0058,0.0021,0.0013,0.0006,0.0
2012-06-04,-0.0005,0.0008,-0.0055000000000000005,0.0033,-0.0040999999999999995,0.0
2012-06-05,0.0068000000000000005,0.0029,0.0006,-0.005600000000000001,-0.0006,0.0
2012-06-06,0.0232,0.0013,0.0021,-0.0037,-0.0013,0.0
2012-06-07,-0.001,-0.0046,0.0013,0.0004,0.0026,0.0
